site_name,component,state,country,operational_status,latitude,longitude
NG Salina KS Training Center,Army Guard,Kansas,United States,Active,38.785720474,-97.6388622613
NAVOBSSTA Flagstaff AZ,Navy Active,Arizona,United States,Active,35.1875402981,-111.741594825
Target B-16,Navy Active,Nevada,United States,Active,39.3394330115,-118.880780116
Barin Field,Navy Active,Alabama,United States,Active,30.3910783123,-87.6313191791
Old Town Site 1,Navy Active,California,United States,Active,32.7486743431,-117.197008871
Broadway Complex,Navy Active,California,United States,Active,32.7136561362,-117.172024897
Mission Gorge Rec Area,Navy Active,California,United States,Active,32.8048190699,-117.093958022
McGuire,AF Active,New Jersey,United States,Active,40.0256494173,-74.5801329664
Northside Mid-South,Navy Active,Tennessee,United States,Active,35.3427908944,-89.8597481799
NSWC Carderock Div,Navy Active,Tennessee,United States,Active,35.0872036174,-90.1390498645
Umatilla Chemical Depot,Army Active,Oregon,United States,Active,45.8426458207,-119.437655677
Defense Supply Center Columbus,Army Active,Ohio,United States,Active,39.9796100871,-82.8985258467
US Army Garrison Selfridge,Army Active,Michigan,United States,Active,42.6609659498,-82.8128744872
Fort Wingate Depot Activity,Army Active,New Mexico,United States,Inactive,35.4623986207,-108.598242168
Pupukea Paalaa Uka Mil Road,Army Active,Hawaii,United States,Active,19.9692428627,-155.719658833
MCRD Beaufort,MC Active,South Carolina,United States,Active,32.337579472,-80.69617786
Marine Corps Museum,MC Active,Virginia,United States,Active,38.5203611824,-77.3647271918
Det Phil Pny Annex,Navy Active,Pennsylvania,United States,Active,39.8917550243,-75.1787438843
Naval Station Newport RI,Navy Active,Rhode Island,United States,Active,41.535278318,-71.3096354954
Sasa Valley,Navy Active,Guam,Guam,Active,13.4489097645,144.699606632
Utah Test and Training Range South UT,AF Active,Utah,United States,Active,40.4970086744,-113.563257825
Hill AFB,AF Active,Utah,United States,Active,41.128082376,-111.991247141
Youngstown,AF Reserve,Ohio,United States,Active,41.2673838021,-80.6786812118
Travis AFB,AF Active,California,United States,Active,38.2645314897,-121.942797537
The Farish Memorial Recreational Annex,AF Active,Colorado,United States,Active,38.9991596818,-104.999644284
Grissom ARB,AF Reserve,Indiana,United States,Active,40.6539758948,-86.1518428016
Pillar Point AFS,AF Active,California,United States,Active,37.4989475163,-122.498033406
Maxwell AFB,AF Active,Alabama,United States,Active,32.3830076533,-86.356311322
Eielson AFB,AF Active,Alaska,United States,Active,64.6741086836,-147.060214201
Francis S Gabreski Airport,AF Guard,New York,United States,Active,40.8369889702,-72.6434132546
Quonset State Airport,AF Guard,Rhode Island,United States,Active,41.5969299432,-71.4184961614
NG Beightler Armory,Army Guard,Ohio,United States,Active,40.0892143305,-83.0674428948
NG Elkins AFRC,Army Guard,West Virginia,United States,Active,38.9545040967,-79.9791154099
NG Anthony Cometa Complex,Army Guard,Nevada,United States,Active,36.0173819633,-115.200674517
NG TS Camp Johnson,Army Guard,Vermont,United States,Active,44.4996364569,-73.1646298114
Amphib Base Coronado East,Navy Active,California,United States,Active,32.6678869196,-117.157059858
Warner Springs Rts,Navy Active,California,United States,Active,33.3401617984,-116.68138499
Carlisle Barracks,Army Active,Pennsylvania,United States,Active,40.2073636557,-77.1688037409
Peterson AFB,AF Active,Colorado,United States,Active,38.822867706,-104.696062064
Tooele Army Depot,Army Active,Utah,United States,Active,40.5270428347,-112.411357721
Pueblo Chemical Depot,Army Active,Colorado,United States,Active,38.3171489216,-104.33242089
Yuma Proving Ground,Army Active,Arizona,United States,Active,33.1053210003,-114.213605815
NTC and Fort Irwin,Army Active,California,United States,Active,35.3743268559,-116.633388332
Hawthorne Army Depot,Army Active,Nevada,United States,Active,38.5411518559,-118.654781649
Lake City AAP,Army Active,Missouri,United States,Active,39.0968504854,-94.2501544756
Point of Marsh Target,MC Active,North Carolina,United States,Active,35.0110394592,-76.4580795598
MCLB Barstow,MC Active,California,United States,Active,34.8595418908,-116.94453311
NAS Oceana VA,Navy Active,Virginia,United States,Active,36.8137764139,-76.0309744664
Tenjo Vista,Navy Active,Guam,Guam,Active,13.4330059068,144.687514491
Offut AFB,AF Active,Nebraska,United States,Active,41.1180005456,-95.9064350192
Cavalier Asn,AF Active,North Dakota,United States,Active,48.7245309314,-97.9030701569
New Boston Air Station,AF Active,New Hampshire,United States,Active,42.937170491,-71.6412530372
Portland IAP ANG,AF Guard,Oregon,United States,Active,45.5783794843,-122.595521925
